"dealer_code","sap_order_code","code","create_time","invoice_type","order_total_money","invoice_money"
"0000029683","0001019873","D2020010100000000001","1/1/2020 00:03:57","01","210307.56","193560"
"0000015945","0001017392","D2020010100000000002","1/1/2020 00:08:03","01","55800","53240"
"0000025851","0001017643","D2020010100000000003","1/1/2020 09:16:41","01","31200","30510"
"0000012906","0001017454","D2020010100000000004","1/1/2020 09:16:52","01","180847.8","162657"
"0000037769","0001017289","D2020010100000000005","1/1/2020 09:16:59","01","178000","174400"
"0000011117","0001017287","D2020010100000000006","1/1/2020 09:17:01","01","115774","105800"
"0000026111","0001017288","D2020010100000000007","1/1/2020 09:17:01","01","83904","76800"
"0000021535","0001017352","D2020010100000000010","1/1/2020 09:19:21","01","182688","159000"
